id,name,label,item_tag,credit,credit_encode,rate_lower,rate_upper,term_lower,ter_upper
024f655f486c416aa189b62a44b63fd0,平安税金贷,1,等额本金 等额本息 随借随还,100,1,0.07,0.12,1,36
0ecbd81b65974328845f2687fa41e908,网乐贷,1,等额本息 随借随还 最低持股30% 最短身份时长12个月 纳税评级AB,50,0,0.09,0.12,1,12
10fea68f90e24aa8ba03241f1b0c2cd6,瀚华幸福贷,0,等额本息,100,1,0.08,0.13,6,12
129166c4546f42048922d8e9da1321b3,微众供货贷,1,先息后本 随借随还 纳税评级ABCM无评级,300,3,0.04,0.18,1,12
13374180138745b6bc253bcdfa327de7,360发票贷,0,发票追溯12个月,50,0,0.11,0.14,3,24
1cb48bf7673040d292ffa55cc1931fd9,小微快贷,1,等额本息 最短身份1个月 纳税评级ABCM,100,1,0.1,0.13,12,24
2f47c73271d6469f9b6ded2a1eb3e5e2,华夏应收账款,0,限定法人 发票追溯12个月,200,2,0.1,0.14,3,12
32a1ca06a24b4c83974701e5de782ffc,亚联财富金贷,,等额本息,20,0,0.13,0.2,3,12
33a9bc0a35234b9d96206aca5ed78fdd,大数渤税贷,1,等额本息 先息后本 随借随还 法人最低持股5% 最短身份1个月,50,0,0.07,0.07,1,36
3befd497604a4313a33b8c97743f3246,广发税银通,1,先息后本 随借随还 纳税评级ABC,300,3,0.06,0.1,1,12
3c6eb5839ef1472d99660766ca609b77,江苏银行随e贷,1,先息后本 随借随还,200,2,0.06,0.08,1,12
3f52b69cf5034925894bea00ced62a74,顺新贷,0,等额本息 随借随还 最低持股30% 最短身份12个月 纳税评级ABC 发票追溯15个月,50,0,0.1,0.15,6,12
408e7697ff724a79b1196aca81f1fa00,大数易企贷,0,最低持股10% 最短身份12个月,100,1,0.1,0.13,12,36
438bfe809209487b819915e819df040b,普洛斯普数贷,0,发票追溯24个月,50,0,0.18,0.14,6,12
5184022793974b169ea282c2d3546b62,宜信商通贷,0,等额本息 先息后本 最低持股20% 最短身份12个月 发票追溯12个月,100,1,0.11,0.13,4,12
53611dbb2d0b420482fa04e17261789a,富税贷,1,等额本息 先息后本 随借随还 法人最低持股30% 最短身份12个月 纳税评级ABC,50,0,0.12,0.15,1,24
56ebc23fbfac40deae22d7fe315bf247,微业贷,1,等额本金 随借随还 纳税评级ABC,300,3,0.04,0.16,1,36
619e031d56564cc88aeedecb99f63f4c,大数老板贷,0,等额本息 发票追溯9个月,100,1,0.11,0.13,12,36
7d1ed5dda9fc4865b97d004cf8f6dd93,平顶山发票贷,0,等额本息 先息后本 随借随还 限定法人 发票追溯12个月,50,0,0.1,0.12,3,12
81dd32ea7d7944729088ae1245ea9772,海尔云数贷,0,等额本息 最低持股20% 最短身份6个月 发票追溯12个月,50,0,0.1,0.14,1,12
8bf2a87b85324911bf34a1056fe1499e,客金贷,1,等额本息 最短身份1个月 纳税评级ABCM,100,1,0.15,0.14,12,24
9ba8cf46be224d4b8213cef9b95ce1b4,新网好事贷,0,等额本息,50,0,0.18,0.14,12,12
9d2e06387cbf499a87ac1867e635126f,极数贷,0,等额本息 最短身份6个月 发票追溯9个月,100,1,0.1,0.13,12,36
9d8276255db143f9bc3de84a4fae386a,裕民银行税裕贷,1,先息后本 随借随还 法人限定 法人最低持股20% 最短身份6个月 纳税评级ABCM,50,0,0.09,0.14,3,36
9e19d63ebf4a4aab8347a1426abdbb34,微众房抵贷乐业贷,,先息后本 随借随还 最低持股10%,2000,4,0.06,0.14,12,60
9e49cf89e28042628579f7cc3e206a2f,厚沃贷外贸贷,,等额本息 随借随还 最短身份6个月,100,1,0.18,0.14,1,12
a51718e9ecac453b879c44a7be9e23ef,浦发银税贷,0,等额本息 发票追溯12个月,100,1,0.08,0.09,12,12
a898f6f804954eceb2bea3ceb709732c,企速贷,1,等额本息 限定法人 纳税评级ABCM,100,1,0.1,0.13,12,36
abea3f47b6d147f9b0c622dea0425c95,新网好企贷,1,等额本息 限定法人 法人最低持股30% 最短身份时长6个月 纳税评级ABC,500,3,0.11,0.14,1,12
b828e2fd804446b8bc4380c11bb66a6d,新大陆金新贷,0,等额本金 最低持股20% 最短身份12个月 发票追溯12个月,50,0,0.14,0.14,6,12
c789941d88c84c6193be364ce18995f5,苏宁微商贷,1,等额本金 随借随还 法人身份限定 法人最低持股5% 最短身份3个月,200,2,0.09,0.18,3,18
c82d878e889e44079f94a69a9b7d75a8,极沃贷,0,等额本息 随借随还 最低持股10% 最短身份12个月,50,0,0.07,0.13,3,12
ca4c782857b847a4939e258c74051888,瀚华金税贷,1,等额本息 法人身份限定 法人最低持股5% 最短身份3个月,100,1,0.18,0.14,12,12
d464a474eaba468f9f53839284702d74,大数金盈贷,0,等额本息,100,1,0.24,0.14,12,12
d6901406bb6c4c52980648e15c475439,浦望贷,0,等额本息,100,1,0.07,0.14,3,12
d7954a71c7dc4e6c974ad0e83b31246b,优盈贷,,等额本息 限定法人 最短身份6个月,50,0,0.18,0.14,12,12
d79d6a24b3a64226a495b1fe585deccf,平安速票贷,0,最低持股20% 发票追溯18个月,50,0,0.11,0.14,12,36
db1b6a3ad90e4604ac7d731392dbf505,旺新贷,0,等额本息 最低持股30% 纳税评级ABC 发票追溯24个月,100,1,0.12,0.15,3,12
f38894673cca46768b43891d5015b937,华兴税E贷,1,等额本金 随借随还 最低持股10% 最短身份时长12个月,200,2,0.12,0.16,3,12
ddaf966ddaed42f4a7a5ca9c01b51aa0,振兴银行税e贷,1,等额本息 先息后本 随借随还 法人限定 法人最低持股20% 纳税评级ABC,50,0,0.09,0.18,1,12
e5f1e06e56bd4245bd0fbf27e7373658,苏宁好融易,0,等额本息,200,2,0.14,0.14,3,12
ebdb6737a4044ad5a28ebcde15b6233d,华夏龙惠贷,0,等额本息 发票追溯18个月,50,0,0.14,0.14,12,12
ef05ad6ea2494c8f98103524460ee1b3,好运贷,,等额本息 先息后本 随借随还 最短身份6个月,300,3,0.16,0.2,2,6
f678b1014ecb40a18b1bf83b5823116c,拉卡拉小贷,0,等额本息,30,0,0.15,0.14,12,12
f8a458a3a4314b8284bf91c191610de8,民生云快贷,,先息后本 随借随还,1500,4,0.04,0.05,1,60
